Date,ULSP Pump price in pence/litre,ULSD Pump price in pence/litre,ULSP Duty rate in pence/litre,ULSD Duty rate in pence/litre,ULSP VAT percentage rate,ULSD VAT percentage rate
3/9/2020,122.24,126.25,57.95,57.95,20,20
3/16/2020,120.33,124.36,57.95,57.95,20,20
3/23/2020,119.64,123.41,57.95,57.95,20,20
3/30/2020,112.45,118.6,57.95,57.95,20,20
4/6/2020,110.23,116.83,57.95,57.95,20,20
4/13/2020,109.27,116.15,57.95,57.95,20,20
4/20/2020,108.63,115.73,57.95,57.95,20,20
4/27/2020,107.88,115.22,57.95,57.95,20,20
5/4/2020,107.56,114.94,57.95,57.95,20,20
5/11/2020,107.45,114.83,57.95,57.95,20,20
5/18/2020,105.09,112.22,57.95,57.95,20,20
5/25/2020,104.87,111.7,57.95,57.95,20,20
6/1/2020,105.17,111.76,57.95,57.95,20,20
6/8/2020,105.74,111.98,57.95,57.95,20,20
6/15/2020,106.37,112.53,57.95,57.95,20,20
6/22/2020,107.13,112.98,57.95,57.95,20,20
6/29/2020,108.31,114.1,57.95,57.95,20,20
7/6/2020,109.43,115.05,57.95,57.95,20,20
